Location,lon,lat
Japan,138.252924,36.204824
"Sacramento, California",-121.4943996,38.5815719
"Auckland, New Zealand",174.7644881,-36.85088270000001
UK,-3.435973,55.378051
"Tokyo, Japan",139.6503106,35.6761919
"Boston, Massachusetts",-71.0588801,42.3600825
"England, UK",-1.1743197,52.3555177
"Viedma, Argentina",-62.9962044,-40.8119087
"Chicago, Illinois",-87.6297982,41.8781136
"Fort Worth, Texas",-97.3307658,32.7554883
"Burlington, Iowa",-91.1128901,40.8076529
"Oswego, New York",-76.5104973,43.4553461
"Annapolis, Maryland",-76.4921829,38.9784453
"Tucson, Arizona",-110.9747108,32.2226066
Texas,-99.9018131,31.9685988
"Grimsby, UK",-0.080784,53.567471
Singapore,103.819836,1.352083
"Rochester, NY",-77.6088465,43.15657789999999
"Kokomo, Indiana",-86.13360329999999,40.486427
"Sao Paulo, Brazil",-46.63330939999999,-23.5505199
"New York, New York",-74.21793260000001,43.2994285
"Ringgold, Georgia",-85.1091173,34.9159099
"Pitman, New Jersey",-75.1315651,39.732892
"Clearwater, Florida",-82.8001026,27.9658533
Germany,10.451526,51.165691
"Rolling Meadows, Illinois",-88.0131275,42.0841936
"Wellington, New Zealand",174.7787463,-41.2923814
"Norwich, UK",1.297355,52.6308859
"San Fernando Valley, California",-118.4396756,34.1825782
"Fresno, California",-119.7871247,36.7377981
"Saint Petersburg, Russia",30.3609096,59.9310584
"Glasgow, UK",-4.251806,55.864237
North Carolina,-79.01929969999999,35.7595731
"Elizabeth, New Jersey",-74.2107006,40.6639916
"Pittsburgh, PA",-79.9958864,40.44062479999999
"Lima, Peru",-77.042754,-12.0463731
New York,-74.0059728,40.7127753
Missouri,-91.8318334,37.9642529
"Seattle, Washington",-122.3320708,47.6062095
"Riverview, Michigan",-83.1793697,42.1742073
"Suisun City, California",-122.040244,38.2382474
"Pittsburgh, Pennsylvania",-79.9958864,40.44062479999999
Limerick,-8.6267343,52.6638367
Tokyo,139.6503106,35.6761919
"Philadelphia, Pennsylvania",-75.1652215,39.9525839
Bellingham,-122.4786854,48.7519112
"Austin, Texas",-97.7430608,30.267153
"Vologda, Russia",39.8978053,59.21806649999999
Poland,19.145136,51.919438
"Larchmont, New York",-73.75179829999999,40.9278769
Chile,-71.542969,-35.675147
"Oslo, Norway",10.7522454,59.9138688
"Austin, TX",-97.7430608,30.267153
"Potsdam, New York",-74.9813084,44.6697805
"Chippenham, UK",-2.1195157,51.461514
"Los Angeles, California",-118.2436849,34.0522342
"Montreal, Quebec",-73.567256,45.5016889
"Mesa, Arizona",-111.8314724,33.4151843
"Manila, Philippines",120.9842195,14.5995124
"Grand Rapids, Michigan",-85.6680863,42.9633599
"Raleigh, North Carolina",-78.6381787,35.7795897
"Spokane, Washington",-117.4260465,47.6587802
"Williamsburg, Virginia",-76.7074571,37.2707022
"Portland, Oregon",-122.6750261,45.5051064
"Bernal, Argentina",-58.28008269999999,-34.7108688
"Ottawa, Ontario",-75.69719309999999,45.4215296
Pennsylvania,-77.1945247,41.2033216
"Lyon, France",4.835659,45.764043
"Gig Harbor, Washington",-122.5801293,47.32926399999999
"Winchester, Virginia",-78.1633341,39.1856597
"Fallston, Maryland",-76.41107319999999,39.5145515
"Thunder Bay, Ontario",-89.2476823,48.3808951
"Omaha, Nebraska",-95.9345034,41.2565369
"Boston, UK",-0.026577,52.97893999999999
"St. Louis, Missouri",-90.19940419999999,38.6270025
"Nashville, Tennessee",-86.7816016,36.1626638
"Leipzig, Germany",12.3730747,51.3396955
"Sioux Falls, South Dakota",-96.731265,43.5460223
"New Orleans, Louisiana",-90.0715323,29.95106579999999
"Fargo, North Dakota",-96.7898034,46.8771863
"Bristol, UK",-2.58791,51.454513
"Sarasota, Florida",-82.53065269999999,27.3364347
Massachusetts,-71.3824374,42.4072107
California,-119.4179324,36.778261
"Muskegon, Michigan",-86.24839209999999,43.2341813
"East Lansing, Michigan",-84.48386540000001,42.7369792
"Cleveland, Ohio",-81.6943605,41.49932
Michigan,-85.60236429999999,44.3148443
"London, UK",-0.1277583,51.5073509
"Salt Lake City, Utah",-111.8910474,40.7607793
"Milan, Italy",9.189982,45.464203500000004
"San Antonio, Texas",-98.49362819999999,29.4241219
"Charlotte, North Carolina",-80.8431267,35.2270869
"Phoenix, Arizona",-112.0740373,33.4483771
"Elizabethtown, Kentucky",-85.8649408,37.7030646
"Asturias, Spain",-5.8593267000000004,43.3613953
"Orland Park, Illinois",-87.85394250000002,41.6303103
"Williamsport, MD",-77.82055079999999,39.6006523
"Vancouver, British Columbia",-123.1207375,49.2827291
"New Brunswick, Canada",-66.46191639999999,46.5653163
"Chico, California",-121.8374777,39.7284944
Connecticut,-73.087749,41.6032207
"Girona, Spain",2.8214264,41.9794005
"Torrance, California",-118.3406288,33.8358492
"Houston, Texas",-95.3698028,29.7604267
"Washington, D.C.",-77.0368707,38.9071923
"San Francisco, California",-122.4194155,37.7749295
"Dortmund, Germany",7.465298100000001,51.5135872
Oregon,-120.5542012,43.8041334
"Lansing, Michigan",-84.5555347,42.732535
"Melbourne, Australia",144.9630576,-37.8136276
"Asheville, North Carolina",-82.5514869,35.5950581
"Manchester, UK",-2.2426305,53.4807593
"Odintsovo, Russia",37.2818568,55.67337449999999
"Columbus, Ohio",-82.99879419999999,39.9611755
"Bogota, Colombia",-74.072092,4.710988599999999
"Providence, Rhode Island",-71.4128343,41.8239891
"Tupelo, Mississippi",-88.7033859,34.2576066
"West Lafayette, IN",-86.90806549999999,40.4258686
"San Diego, California",-117.1610838,32.715738
"Tallahassee, Florida",-84.28073289999999,30.4382559
"Barcelona, Spain",2.1734035,41.3850639
"Madison, Wisconsin",-89.4012302,43.0730517
"Montreal, Québec",-73.567256,45.5016889
"Caracas, Venezuela",-66.90360629999999,10.4805937
"Newport, UK",-2.997664,51.584151
"Toms River, New Jersey",-74.1979458,39.9537358
Sweden,18.643501,60.12816100000001
"Baltimore, Maryland",-76.6121893,39.2903848
"Bettendorf, Iowa",-90.50725729999999,41.5262641
"Oklahoma City, Oklahoma",-97.5164276,35.4675602
"Limerick, Ireland",-8.6267343,52.6638367
Indiana,-86.1349019,40.2671941
"Alexandria, Louisiana",-92.4451371,31.3112936
"Haverhill, Massachusetts",-71.0772796,42.7762015
"Hertford, North Carolina",-76.4660519,36.1901579
"Cali, Colombia",-76.5319854,3.4516467
"Cardiff, UK",-3.17909,51.48158100000001
Italy,12.56738,41.87194
"Des Moines, Iowa",-93.6249593,41.5868353
"Long Island, NY",-73.13496099999999,40.789142
"Waldorf, MD",-76.9105483,38.6265124
"Denver, Colorado",-104.990251,39.7392358
"Kent, Ohio",-81.3578859,41.1536674
"Tampa, Florida",-82.4571776,27.950575
Russia,105.318756,61.52401
"Middlesex, New Jersey",-74.4926541,40.572603
"Sinaloa, Mexico",-107.4795173,25.1721091
"Csongrád, Hungary",20.1436061,46.7084264
"Gifu, Japan",136.7606217,35.42342259999999
"Virginia Beach, Virginia",-75.97798499999999,36.8529263
New Jersey,-74.4056612,40.0583238
"Stoke, UK",-2.179404,53.002668
"Santa Monica, California",-118.4911912,34.0194543
"Lake Ronkonkoma, New York",-73.1053707,40.8320984
"Brooklyn, New York",-73.9441579,40.6781784
"Kelowna, BC",-119.4960106,49.8879519
"Kelowna, British Columbia",-119.4960106,49.8879519
"Adelaide, Australia",138.6007456,-34.9284989
"Oakland, California",-122.2711639,37.8043514
"Trenton, New Jersey",-74.759717,40.2205824
"Jacksonville, Florida",-81.65565099999999,30.3321838
"Long Beach, California",-118.1937395,33.7700504
"Richmond, Virginia",-77.4360481,37.5407246
"Ocala, Florida",-82.14009229999999,29.1871986
Colorado,-105.7820674,39.5500507
